Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
RUN,Sunrun Inc.,57.73,$11.32B,2015,Capital Goods,Industrial Specialties,https://old.nasdaq.com/symbol/run
SUNW,"Sunworks, Inc.",3.07,$51.05M,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/sunw
SLGG,"Super League Gaming, Inc.",1.72,$25.86M,2019,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/slgg
SMCI,"Super Micro Computer, Inc.",27.97,$1.45B,2020,Technology,Computer Manufacturing,https://old.nasdaq.com/symbol/smci
SPCB,"SuperCom, Ltd.",0.835,$13.6M,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/spcb
SGC,"Superior Group of Companies, Inc.",20.67,$319.04M,n/a,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/sgc
SUPN,"Supernus Pharmaceuticals, Inc.",23.58,$1.24B,2012,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/supn
SPRT,"support.com, Inc.",1.96,$37.39M,2000,Technology,EDP Services,https://old.nasdaq.com/symbol/sprt
SURF,"Surface Oncology, Inc.",8.79,$350.77M,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/surf
SRGA,"Surgalign Holdings, Inc.",1.81,$147.33M,n/a,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/srga
